param,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,0.04,0.03,-0.02,0.097,0.0,0.0,4099.0,3497.0,1.0
age_c,-0.003,0.001,-0.005,-0.001,0.0,0.0,4595.0,3739.0,1.0
log_week,-0.014,0.024,-0.063,0.031,0.0,0.0,7356.0,3438.0,1.0
industry[Athlete],-0.024,0.03,-0.079,0.038,0.001,0.0,3018.0,3587.0,1.0
industry[Model],-0.262,0.072,-0.406,-0.12,0.001,0.001,4594.0,3263.0,1.0
industry[Musician],-0.066,0.035,-0.137,0.002,0.001,0.0,3653.0,3579.0,1.0
industry[Other],-0.087,0.069,-0.229,0.039,0.001,0.001,5496.0,3363.0,1.0
industry[Politician],-0.152,0.167,-0.476,0.167,0.002,0.002,6664.0,3528.0,1.0
industry[Reality TV Star],-0.007,0.033,-0.069,0.058,0.001,0.0,3429.0,3629.0,1.0
industry[TV/Host],-0.163,0.056,-0.275,-0.058,0.001,0.001,4743.0,3836.0,1.0
